item,data_lancamento,lanc_Ent_qtd,lanc_Ent_valor,lanc_Sai_qtd,lanc_Sai_valor,saldo_inicio_valor,saldo_inicio_qtd,saldo_final_valor,saldo_final_qtd
81.30.019-4,11/09/2012,200.0,2803.49,207.0,2901.6099999999997,28343.200000000004,2022.0,28245.08,2015.0
81.30.019-4,12/09/2012,0.0,0.0,165.0,2312.89,28245.08,2015.0,25932.190000000002,1850.0
81.30.019-4,13/09/2012,1050.0,14718.369999999999,368.0,5158.43,25932.190000000002,1850.0,35492.13,2532.0
81.30.019-4,14/09/2012,200.0,2803.49,423.0,5929.379999999999,35492.13,2532.0,32366.239999999998,2309.0
81.30.019-4,17/09/2012,250.0,3504.37,424.0,5943.41,32366.239999999998,2309.0,29927.2,2135.0
81.30.019-4,18/09/2012,150.0,2102.62,397.0,5564.93,29927.2,2135.0,26464.89,1888.0
81.30.019-4,19/09/2012,1200.0,16820.989999999998,417.0,5845.29,26464.89,1888.0,37440.59,2671.0
81.30.019-4,20/09/2012,150.0,2102.62,275.0,3854.7999999999997,37440.59,2671.0,35688.409999999996,2546.0
81.30.019-4,21/09/2012,100.0,1401.75,137.0,1920.4,35688.409999999996,2546.0,35169.759999999995,2509.0
81.30.019-4,24/09/2012,0.0,0.0,47.0,658.8199999999999,35169.759999999995,2509.0,34510.939999999995,2462.0
81.30.019-4,25/09/2012,0.0,0.0,17.0,238.3,34510.939999999995,2462.0,34272.63999999999,2445.0
81.30.019-4,26/09/2012,100.0,1401.75,190.0,2663.3199999999997,34272.63999999999,2445.0,33011.06999999999,2355.0
81.30.019-4,27/09/2012,0.0,0.0,88.0,1233.54,33011.06999999999,2355.0,31777.52999999999,2267.0
81.30.019-4,28/09/2012,104.0,1457.82,266.0,3728.64,31777.52999999999,2267.0,29506.709999999992,2105.0
81.30.019-4,30/09/2012,0.0,0.03,0.0,0.03,29506.709999999992,2105.0,29506.709999999992,2105.0
81.30.019-4,01/10/2012,250.0,3628.97,529.0,7678.9,29506.709999999992,2105.0,25456.77999999999,1826.0
81.30.019-4,02/10/2012,2050.0,28860.47,251.0,3643.49,25456.77999999999,1826.0,50673.759999999995,3625.0
81.30.019-4,03/10/2012,25.0,362.9,25.0,362.9,50673.759999999995,3625.0,50673.759999999995,3625.0
81.30.019-4,04/10/2012,0.0,0.0,257.0,3730.58,50673.759999999995,3625.0,46943.17999999999,3368.0
81.30.019-4,05/10/2012,225.0,3266.07,399.0,5791.820000000001,46943.17999999999,3368.0,44417.42999999999,3194.0
81.30.019-4,08/10/2012,150.0,2177.38,150.0,2177.38,44417.42999999999,3194.0,44417.42999999999,3194.0
81.30.019-4,09/10/2012,900.0,12615.75,142.0,2061.25,44417.42999999999,3194.0,54971.92999999999,3952.0
81.30.019-4,10/10/2012,200.0,2903.17,463.0,6720.84,54971.92999999999,3952.0,51154.259999999995,3689.0
81.30.019-4,11/10/2012,250.0,3628.97,287.0,4166.0599999999995,51154.259999999995,3689.0,50617.17,3652.0
81.30.019-4,15/10/2012,150.0,2177.38,251.0,3643.4900000000002,50617.17,3652.0,49151.06,3551.0
81.30.019-4,16/10/2012,0.0,0.0,312.0,4528.96,49151.06,3551.0,44622.1,3239.0
81.30.019-4,17/10/2012,400.0,5806.35,428.0,6212.8,44622.1,3239.0,44215.649999999994,3211.0
81.30.019-4,18/10/2012,900.0,15459.08,141.0,2046.7399999999998,44215.649999999994,3211.0,57627.99,3970.0
81.30.019-4,19/10/2012,200.0,2903.17,209.0,3033.81,57627.99,3970.0,57497.35,3961.0
81.30.019-4,22/10/2012,100.0,1451.59,262.0,3803.16,57497.35,3961.0,55145.78,3799.0
81.30.019-4,23/10/2012,100.0,1451.59,304.0,4412.83,55145.78,3799.0,52184.53999999999,3595.0
81.30.019-4,24/10/2012,250.0,3628.97,308.0,4470.889999999999,52184.53999999999,3595.0,51342.619999999995,3537.0
